uid,split,case_type,runner_name,backbone_model_id,tokens_in,tokens_out,cost_usd,latency_ms,retries,flags,text_preview,raw_output_preview
nikluge-sa-2022-train-00692,valid,unknown,proposed,gpt-4.1-mini,361,443,0.0169,80353,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""와플모양의 순면패드"",
      ""span"": {""start"": 0, ""end"": 11},
      ""normalized"": ""순면패드"",
      ""syntactic_head"": ""지워주면서도"",
      ""confidence"": 0.95,
      ""rationale"": ""문장"
nikluge-sa-2022-train-01089,valid,unknown,proposed,gpt-4.1-mini,356,539,0.01973,77798,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""화이트 베이스"",
      ""span"": {""start"": 0, ""end"": 6},
      ""normalized"": ""화이트 베이스"",
      ""syntactic_head"": ""높이구"",
      ""confidence"": 0.95,
      ""rationale"": ""문장 초반에"
nikluge-sa-2022-train-01233,valid,unknown,proposed,gpt-4.1-mini,357,388,0.01521,76409,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""싱크대거름망"",
      ""span"": {""start"": 0, ""end"": 6},
      ""normalized"": ""싱크대 거름망"",
      ""syntactic_head"": ""만들어"",
      ""confidence"": 0.95,
      ""rationale"": ""문장 초반에 "
nikluge-sa-2022-train-00797,valid,unknown,proposed,gpt-4.1-mini,344,185,0.008990000000000001,71705,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""순한 성분"",
      ""span"": {""start"": 15, ""end"": 20},
      ""normalized"": ""순한 성분"",
      ""syntactic_head"": ""사용 가능"",
      ""confidence"": 0.95,
      ""rationale"": ""본문에서 '"
nikluge-sa-2022-train-02917,valid,unknown,proposed,gpt-4.1-mini,350,390,0.0152,70832,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""수분 공급"",
      ""span"": {""start"": 0, ""end"": 4},
      ""normalized"": ""수분 공급"",
      ""syntactic_head"": ""만들어주어"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서 '수분"
nikluge-sa-2022-train-01557,valid,unknown,proposed,gpt-4.1-mini,342,296,0.012299999999999998,67075,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""미생물 발효기술"",
      ""span"": {""start"": 0, ""end"": 8},
      ""normalized"": ""미생물 발효기술"",
      ""syntactic_head"": ""이용한"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서"
nikluge-sa-2022-train-02829,valid,unknown,proposed,gpt-4.1-mini,339,110,0.00669,64452,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""피부톤"",
      ""span"": {""start"": 11, ""end"": 14},
      ""normalized"": ""피부 톤"",
      ""syntactic_head"": ""맑아지는"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서 '피부톤'"
nikluge-sa-2022-train-01065,valid,unknown,proposed,gpt-4.1-mini,349,201,0.00952,64085,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""하루 한장"",
      ""span"": {""start"": 0, ""end"": 4},
      ""normalized"": ""하루 한장"",
      ""syntactic_head"": ""뜯어 사용하다"",
      ""confidence"": 0.9,
      ""rationale"": ""문장에서 '하"
nikluge-sa-2022-train-00474,valid,unknown,proposed,gpt-4.1-mini,322,96,0.0061,59968,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""인정"",
      ""span"": {
        ""start"": 0,
        ""end"": 2
      },
      ""normalized"": ""인정"",
      ""syntactic_head"": """",
      ""confidence"": 0.9,
      ""rationale"
nikluge-sa-2022-train-01230,valid,unknown,proposed,gpt-4.1-mini,336,108,0.0066,52147,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""퀄리티"",
      ""span"": {""start"": 0, ""end"": 4},
      ""normalized"": ""퀄리티"",
      ""syntactic_head"": ""대박이고"",
      ""confidence"": 0.95,
      ""rationale"": ""텍스트 내 '퀄리티'라는"
