_spot_category	text_id	uid	profile	gold_type	f1_eval_note	stage1_tuple_source	stage1_n_pairs	stage1_pairs	final_tuple_source	final_n_pairs	final_pairs	gold_tuple_source	gold_n_pairs	gold_pairs	delta_pairs_count	stage1_to_final_changed	stage1_to_final_changed_from_delta	guided_change	unguided_drift	matches_stage1_vs_gold	matches_final_vs_gold	new_correct_in_final	new_wrong_in_final	risk_flagged	stage1_structural_risk	stage2_structural_risk	risk_resolution	polarity_conflict_raw	polarity_conflict_after_rep	stage_mismatch	unsupported_polarity	aspect_hallucination	alignment_failure_count	validator_s1_risk_ids	validator_s2_risk_ids	moderator_selected_stage	moderator_rules	episodic_memory_effect	memory_enabled	memory_retrieved_n	memory_used	memory_injected_chars	memory_ids_or_hash	text
implicit	nikluge-sa-2022-train-01786		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	1	파우치|neutral	final_tuples	2	파우치|neutral;파우치|positive	inputs.gold_tuples	1	|positive	1	1	0	0	1	0	0	0	2	1	1	0	1	1	1	0	0	0	0			stage2	RuleB	0	0	0	0	0		파우치에 쏙 넣고 자주 자주 발라줘야겠어요
implicit	nikluge-sa-2022-train-02482		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	4	발림성|neutral;산뜻한느낌|neutral;젤제형|neutral;피부|neutral	final_tuples	6	발림성|negative;발림성|neutral;발림성|positive;산뜻한느낌|positive;젤제형|neutral;피부|neutral	inputs.gold_tuples	2	|positive;젤제형|positive	2	1	1	1	0	0	0	0	6	1	1	0	1	1	1	0	1	1	4			stage2	RuleB	1	0	0	0	0		여름에 사용하기 좋은 젤제형으로 부드럽고 촉촉한 발림성 피부에 빠르게 밀착되어 겉돌지않고 끈적이지 않아 산뜻한느낌!!
explicit_hit	nikluge-sa-2022-train-02211		paper_main	explicit		stage1_tuples	1	라임리치향|neutral	final_tuples	2	라임리치향|neutral;라임리치향|positive	inputs.gold_tuples	1	라임리치향|positive	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0			stage2	RuleB	0	0	0	0	0		라임리치향 넘나 상큼한 것
explicit_hit	nikluge-sa-2022-train-01721		paper_main	explicit		stage1_tuples	4	게임|neutral;룰|neutral;방식|neutral;역할|neutral	final_tuples	6	게임|negative;게임|neutral;게임|positive;룰|neutral;방식|negative;역할|neutral	inputs.gold_tuples	1	게임|positive	2	1	1	1	0	0	1	1	5	1	1	0	1	1	1	0	1	1	4			stage2	RuleB	1	0	0	0	0		아직 &name&는 룰을 다 이해못해서 지들만의 방식으로 놀았는데.. 어찌나 좋아하던지 서로 역할을 바꿔가며 주말내내 게임을 즐겼다.
explicit_miss	nikluge-sa-2022-train-02669		paper_main	explicit		stage1_tuples	1	컨실러|neutral	final_tuples	2	컨실러|neutral;컨실러|positive	inputs.gold_tuples	1	쉬드엘아티스트웨어스킨핏듀얼컨실러|positive	1	1	0	0	1	0	0	0	2	1	1	0	1	1	1	0	1	1	1			stage2	RuleB	0	0	0	0	0		#쉬드엘아티스트웨어스킨핏듀얼컨실러 내마음 #컨실러순위 0번 😙😙
explicit_miss	nikluge-sa-2022-train-02916		paper_main	explicit		stage1_tuples	5	#담크림 2종|neutral;내 피부|neutral;땀|neutral;자외선|neutral;폭염|neutral	final_tuples	6	#담크림 2종|neutral;내 피부|positive;땀|neutral;자외선|neutral;폭염|neutral;폭염|positive	inputs.gold_tuples	1	담크림 2종|positive	1	1	1	1	0	0	0	0	6	1	1	0	1	1	1	0	1	1	4			stage2	RuleB	1	0	0	0	0		자외선과 폭염, 땀으로 자극받은 내 피부를 위해 여름에 사용하기 딱 좋은 #담크림 2종 준비했어요
changed	nikluge-sa-2022-train-01939		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	2	머리부터 발끝까지 향기로운 여자|neutral;잔향|neutral	final_tuples	3	머리부터 발끝까지 향기로운 여자|negative;잔향|neutral;잔향|positive	inputs.gold_tuples	1	|positive	1	1	1	1	0	0	0	0	3	1	1	0	1	1	1	0	1	1	2			stage2	RuleB	1	0	0	0	0		샤워후 가볍게 뿌려주면 잔향도 오래가 머리부터 발끝까지 향기로운 여자~
changed	nikluge-sa-2022-train-00565		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	1	신세계|neutral	final_tuples	2	신세계|neutral;신세계|positive	inputs.gold_tuples	1	|positive	1	1	0	0	1	0	0	0	2	1	1	0	1	1	1	0	0	0	0			stage2	RuleB	0	0	0	0	0		이거슨 레알 신세계야😱
risk_flagged	nikluge-sa-2022-train-02384		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	3	다용도실|neutral;발코니|neutral;욕실|neutral	final_tuples	4	다용도실|neutral;발코니|neutral;발코니|positive;욕실|neutral	inputs.gold_tuples	1	|positive	1	1	0	0	1	0	0	0	4	1	1	0	1	1	1	0	1	1	2			stage2	RuleB	0	0	0	0	0		욕실, 다용도실,발코니 등 다양한곳에서 사용가능하니👍
risk_flagged	nikluge-sa-2022-train-00536		paper_main	explicit		stage1_tuples	5	고가의 캐비아|neutral;마스크팩|neutral;저렴한 가격|neutral;피부 단백질 구조|neutral;피부관리|neutral	final_tuples	6	고가의 캐비아|neutral;마스크팩|neutral;마스크팩|positive;저렴한 가격|neutral;피부 단백질 구조|negative;피부관리|positive	inputs.gold_tuples	1	마스크팩|positive	1	1	1	1	0	0	1	1	5	1	1	0	1	1	1	0	1	1	4			stage2	RuleB	1	0	0	0	0		피부 단백질 구조와 가장 흡사한 고가의 캐비아를 저렴한 가격에 마스크팩으로 피부관리를 할 수 있으니 #대박템 !!💜
