text_id	uid	profile	gold_type	f1_eval_note	stage1_tuple_source	stage1_n_pairs	stage1_pairs	final_tuple_source	final_n_pairs	final_pairs	final_n_pairs_raw	final_pairs_raw	final_n_pairs_after_rep	final_pairs_after_rep	gold_tuple_source	gold_n_pairs	gold_pairs	gold_n_explicit_pairs	gold_n_implicit_pairs	gold_audit_verdict	delta_pairs_count	stage1_to_final_changed	stage1_to_final_changed_from_delta	drift_any_change	drift_conflict_relevant_change	guided_change	unguided_drift	matches_stage1_vs_gold	matches_final_vs_gold	new_correct_in_final	new_wrong_in_final	risk_flagged	stage1_structural_risk	stage2_structural_risk	risk_resolution	polarity_conflict_raw	polarity_conflict_after_rep	stage_mismatch	unsupported_polarity	aspect_hallucination	alignment_failure_count	validator_s1_risk_ids	validator_s2_risk_ids	moderator_selected_stage	moderator_rules	drift_cause_tag	stage2_adopted_but_no_change	episodic_memory_effect	memory_enabled	memory_retrieved	memory_injected	memory_exposed_to_debate	memory_retrieved_n	memory_used	memory_injected_chars	memory_ids_or_hash	memory_blocked_episode_n	memory_blocked_advisory_n	memory_block_reason	risk_before_sum	risk_after_sum	risk_delta_sum	text
nikluge-sa-2022-train-00987		paper_main	explicit		stage1_tuples	2	아이들에게|neutral;아이립밤|positive	final_tuples	1	아이립밤|positive	1	아이립밤|positive	1	아이립밤|positive	inputs.gold_tuples	1	아이립밤|positive	1	0	explicit	-1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	0	1	1	2			stage2	RuleB	stage2_selected	0	1	1	0	0	0	0	0	0		0	0		0.0	0.0	0.0	엄마따라하기를 좋아하는 아이들에게 안성맞춤 #아이립밤
nikluge-sa-2022-train-00922		paper_main	explicit		stage1_tuples	1	사이즈|positive	final_tuples	1	사이즈|positive	1	사이즈|positive	1	사이즈|positive	inputs.gold_tuples	1	사이즈|positive	1	0	explicit	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1			stage2	RuleB		1	0	1	1	0	0	1	0	0	epi_000001	0	0		0.0	0.0	0.0	130cm/24kg 딸 13호 입었는데 사이즈는 좀 넉넉하게 나온거 같아요~
nikluge-sa-2022-train-00077		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	3	아이리버|neutral;일류 기업|negative;중소업체|neutral	final_tuples	3	아이리버|neutral;일류 기업|negative;중소업체|neutral	3	아이리버|neutral;일류 기업|negative;중소업체|neutral	3	아이리버|neutral;일류 기업|negative;중소업체|neutral	inputs.gold_tuples	1	|negative	0	1	implicit	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1	0	0	0	1	1	2			stage2	RuleB		1	0	1	1	0	0	1	0	0	epi_000001	0	0		0.0	0.0	0.0	왜 일류 기업이라는 게 아이리버나 다른 중소업체보다 못하지?
nikluge-sa-2022-train-00536		paper_main	explicit		stage1_tuples	5	고가의 캐비아|neutral;마스크팩|neutral;저렴한 가격|neutral;피부 단백질 구조|neutral;피부관리|positive	final_tuples	5	고가의 캐비아|neutral;마스크팩|positive;저렴한 가격|positive;피부 단백질 구조|neutral;피부관리|positive	5	고가의 캐비아|neutral;마스크팩|positive;저렴한 가격|positive;피부 단백질 구조|neutral;피부관리|positive	5	고가의 캐비아|neutral;마스크팩|positive;저렴한 가격|positive;피부 단백질 구조|neutral;피부관리|positive	inputs.gold_tuples	1	마스크팩|positive	1	0	explicit	0	1	1	1	1	0	1	0	1	1	4	1	1	0	1	0	0	0	1	1	4			stage2	RuleB	stage2_selected	0	0	1	1	0	0	1	0	0	epi_000001	0	0		0.0	0.0	0.0	피부 단백질 구조와 가장 흡사한 고가의 캐비아를 저렴한 가격에 마스크팩으로 피부관리를 할 수 있으니 #대박템 !!💜
nikluge-sa-2022-train-00969		paper_main	explicit		stage1_tuples	3	아담한사이즈|positive;토끼인형|positive;프릴장식|positive	final_tuples	3	아담한사이즈|positive;토끼인형|positive;프릴장식|positive	3	아담한사이즈|positive;토끼인형|positive;프릴장식|positive	3	아담한사이즈|positive;토끼인형|positive;프릴장식|positive	inputs.gold_tuples	1	프릴장식|positive	1	0	explicit	0	0	0	0	0	0	0	1	1	0	2	1	1	0	1	0	0	0	1	1	2			stage2	RuleB		1	0	1	1	0	0	1	0	0	epi_000001	0	0		0.0	0.0	0.0	아담한사이즈 그리고 #프릴장식 까지 넘 사랑스런 #토끼인형
nikluge-sa-2022-train-01877		paper_main	explicit		stage1_tuples	1	#올인원크림|neutral	final_tuples	1	#올인원크림|neutral	1	#올인원크림|neutral	1	#올인원크림|neutral	inputs.gold_tuples	1	올인원크림|positive	1	0	explicit	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1			stage2	RuleB		1	0	1	1	0	0	1	0	0	epi_000001	0	0		0.0	0.0	0.0	간편하게 #올인원크림 으로 관리하는 여자
nikluge-sa-2022-train-02944		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	2	바르고 난 직후|neutral;흡수|neutral	final_tuples	2	바르고 난 직후|negative;흡수|positive	2	바르고 난 직후|negative;흡수|positive	2	바르고 난 직후|negative;흡수|positive	inputs.gold_tuples	1	|positive	0	1	implicit	0	1	1	1	1	0	1	0	0	0	2	1	1	0	1	0	0	0	1	1	1	CONTRAST_SCOPE		stage2	RuleB,RuleE	stage2_selected	0	0	1	1	0	0	1	0	0	epi_000001	0	0		2.0	0.0	-2.0	역시 바르고 난 직후에는 이렇게 맨들거리지만 금방 바로 흡수되어 버린답니다.
nikluge-sa-2022-train-01305		paper_main	explicit		stage1_tuples	7	24시간 자동정온|positive;기본적인 기능|neutral;냉동실full 드로어 기능들|neutral;도어쿨링|positive;멀티수납함|positive;신선야채실|positive;장점들|neutral	final_tuples	8	24시간 자동정온|positive;|neutral;기본적인 기능|positive;냉동실full 드로어 기능들|positive;도어쿨링|positive;멀티수납함|positive;신선야채실|positive;장점들|positive	8	24시간 자동정온|positive;|neutral;기본적인 기능|positive;냉동실full 드로어 기능들|positive;도어쿨링|positive;멀티수납함|positive;신선야채실|positive;장점들|positive	7	24시간 자동정온|positive;기본적인 기능|positive;냉동실full 드로어 기능들|positive;도어쿨링|positive;멀티수납함|positive;신선야채실|positive;장점들|positive	inputs.gold_tuples	2	24시간 자동정온, 도어쿨링, 신선야채실, 멀티수납함, 냉동실full 드로어 기능|positive;냉장고가 갖고 있어야 할 기본적인 기능|positive	2	0	explicit	1	1	1	1	1	0	1	0	0	0	8	1	1	0	1	0	0	0	1	1	7			stage2	RuleB	stage2_selected	0	0	1	1	0	0	2	0	0	epi_000001;epi_000007	0	0		0.0	0.0	0.0	얼음정수기 기능 이외에도 냉장고가 갖고 있어야 할 기본적인 기능은 물론이고, 24시간 자동정온, 도어쿨링, 신선야채실, 멀티수납함, 냉동실Full 드로어 기능들은 #냉장고추천 하기에 충분한 매력덩어리들이라서, 사용하면서도 늘 감사했던 장점들이랍니다.
nikluge-sa-2022-train-01356		paper_main	explicit		stage1_tuples	6	로지사틴크림|neutral;메이크업|positive;밤|neutral;소량|neutral;피부|neutral;피부결|positive	final_tuples	6	로지사틴크림|negative;메이크업|positive;밤|neutral;소량|neutral;피부|positive;피부결|positive	6	로지사틴크림|negative;메이크업|positive;밤|neutral;소량|neutral;피부|positive;피부결|positive	6	로지사틴크림|negative;메이크업|positive;밤|neutral;소량|neutral;피부|positive;피부결|positive	inputs.gold_tuples	1	로지사틴크림|positive	1	0	explicit	0	1	1	1	1	1	0	0	0	0	6	1	1	0	1	0	0	0	1	1	6			stage2	RuleB	stage2_selected	0	1	1	1	0	0	2	0	0	epi_000001;epi_000007	0	0		0.0	0.0	0.0	그만큼 피부결이 중요한데 로지사틴크림은 소량만 발라도 메이크업이 쫀쫀해지고 밤에 바르고 자면 다음날 아침 피부가 깐달걀처럼 매끈하답니다
nikluge-sa-2022-train-00433		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	1	사용감|positive	final_tuples	1	사용감|positive	1	사용감|positive	1	사용감|positive	inputs.gold_tuples	1	|positive	0	1	implicit	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0			stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	사용감 좋아요
nikluge-sa-2022-train-01287		paper_main	explicit		stage1_tuples	4	수분보충|positive;수용성 저분자 어류콜라겐성분|neutral;에센스|neutral;탄력|positive	final_tuples	4	수분보충|positive;수용성 저분자 어류콜라겐성분|neutral;에센스|neutral;탄력|positive	4	수분보충|positive;수용성 저분자 어류콜라겐성분|neutral;에센스|neutral;탄력|positive	4	수분보충|positive;수용성 저분자 어류콜라겐성분|neutral;에센스|neutral;탄력|positive	inputs.gold_tuples	1	에센스|positive	1	0	explicit	0	0	0	0	0	0	0	0	0	0	4	1	1	0	1	0	0	0	1	1	4			stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	수용성 저분자 어류콜라겐성분의 베이스로 수분보충과 동시에 탄력까지 보충해 주는 에센스에요.
nikluge-sa-2022-train-02175		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	1	부드러움|positive	final_tuples	1	부드러움|positive	1	부드러움|positive	1	부드러움|positive	inputs.gold_tuples	1	|positive	0	1	implicit	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1			stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	만져보면 부드러움이 딱 느껴져요👍🏻
nikluge-sa-2022-train-01797		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	1	너무 좋아|neutral	final_tuples	1	너무 좋아|positive	1	너무 좋아|positive	1	너무 좋아|positive	inputs.gold_tuples	1	|positive	0	1	implicit	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0			stage2	RuleB,RuleE	stage2_selected	0	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	너무 좋아 지인들에게도 추천해 줬었는데 정말 기대되네요^^
nikluge-sa-2022-train-00644		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	2	사용감|positive;패키지|positive	final_tuples	2	사용감|positive;패키지|positive	2	사용감|positive;패키지|positive	2	사용감|positive;패키지|positive	inputs.gold_tuples	2	|positive;패키지|positive	1	1	implicit	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	1	1	1	CONTRAST_SCOPE		stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		2.0	0.0	-2.0	여전히 사용감은 너무 좋은데 패키지는 더 세련되게 변한 것 같아요.
nikluge-sa-2022-train-00643		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	2	99.9% 자연유래의 착한 성분들|neutral;여성을 위한 제품|neutral	final_tuples	2	99.9% 자연유래의 착한 성분들|positive;여성을 위한 제품|positive	2	99.9% 자연유래의 착한 성분들|positive;여성을 위한 제품|positive	2	99.9% 자연유래의 착한 성분들|positive;여성을 위한 제품|positive	inputs.gold_tuples	1	|positive	0	1	implicit	0	1	1	1	1	0	1	0	0	0	2	1	1	0	1	0	0	0	1	1	2			stage2	RuleB,RuleE	stage2_selected	0	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	99.9% 자연유래의 착한 성분들이라서 안심하고 사용할 수 있는 여성을 위한 제품이랍니당
nikluge-sa-2022-train-00028		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	5	각진 인생|neutral;뒷백|neutral;사각|neutral;펄|neutral;폰|neutral	final_tuples	5	각진 인생|positive;뒷백|negative;사각|positive;펄|negative;폰|positive	5	각진 인생|positive;뒷백|negative;사각|positive;펄|negative;폰|positive	5	각진 인생|positive;뒷백|negative;사각|positive;펄|negative;폰|positive	inputs.gold_tuples	1	|negative	0	1	implicit	0	1	1	1	1	0	1	0	0	0	5	1	1	0	1	0	0	0	1	1	3			stage2	RuleB,RuleE	stage2_selected	0	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	각진 인생, 폰도 사각이 좋고 뒷백도 펄 같은 거 좀 별롤세;;
nikluge-sa-2022-train-01621		paper_main	explicit		stage1_tuples	6	강황 발효 에너지|neutral;두피활력|positive;모발|neutral;암라성분|neutral;인삼|neutral;헤어|neutral	final_tuples	6	강황 발효 에너지|positive;두피활력|positive;모발|positive;암라성분|positive;인삼|positive;헤어|positive	6	강황 발효 에너지|positive;두피활력|positive;모발|positive;암라성분|positive;인삼|positive;헤어|positive	6	강황 발효 에너지|positive;두피활력|positive;모발|positive;암라성분|positive;인삼|positive;헤어|positive	inputs.gold_tuples	2	암라성분|positive;인삼과 강황 발효 에너지|positive	2	0	explicit	0	1	1	1	1	0	1	0	1	1	5	1	1	0	1	0	0	0	1	1	5			stage2	RuleB	stage2_selected	0	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	인삼과 강황 발효 에너지가 두피활력을 촉진하고 암라성분이 즉각적으로 모발을 두껍게 해 하루종일 풍성한 헤어를 유지할 수 있어요!!
nikluge-sa-2022-train-00189		paper_main	explicit		stage1_tuples	3	#스틱비누|neutral;아이들 손|neutral;작은사이즈|neutral	final_tuples	3	#스틱비누|positive;아이들 손|positive;작은사이즈|positive	3	#스틱비누|positive;아이들 손|positive;작은사이즈|positive	3	#스틱비누|positive;아이들 손|positive;작은사이즈|positive	inputs.gold_tuples	1	작은사이즈의 #스틱비누|positive	1	0	explicit	0	1	1	1	1	0	1	0	0	0	3	1	1	0	1	0	0	0	1	1	3			stage2	RuleB,RuleE	stage2_selected	0	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	그리고 작은사이즈의 #스틱비누 휴대하며 사용중인데 가지고 다니며 사용하니 아이들 손씻길때도 좋고 손씻고 땡기지 않아서 좋네요~
nikluge-sa-2022-train-00237		paper_main	explicit		stage1_tuples	5	개선|neutral;바디케어 제품|neutral;예방|neutral;인체 적용 시험|neutral;프라젠트라 벨리크림|positive	final_tuples	5	개선|positive;바디케어 제품|positive;예방|positive;인체 적용 시험|neutral;프라젠트라 벨리크림|positive	5	개선|positive;바디케어 제품|positive;예방|positive;인체 적용 시험|neutral;프라젠트라 벨리크림|positive	5	개선|positive;바디케어 제품|positive;예방|positive;인체 적용 시험|neutral;프라젠트라 벨리크림|positive	inputs.gold_tuples	1	프라젠트라 벨리크림|positive	1	0	explicit	0	1	1	1	1	0	1	1	1	0	4	1	1	0	1	0	0	0	1	1	3			stage2	RuleB	stage2_selected	0	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	인체 적용 시험으로 확인된 예방과 개선이 가능한 바디케어 제품이 바로 프라젠트라 벨리크림이랍니다~
nikluge-sa-2022-train-01689		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	1	피부|positive	final_tuples	1	피부|positive	1	피부|positive	1	피부|positive	inputs.gold_tuples	1	|positive	0	1	implicit	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0			stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	피부를 맑고 환하게 가꿔줘요~
nikluge-sa-2022-train-01241		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	1	1+1 행사|positive	final_tuples	1	1+1 행사|positive	1	1+1 행사|positive	1	1+1 행사|positive	inputs.gold_tuples	1	|positive	0	1	implicit	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0			stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	지금 1+1 행사도 하니 또 쟁여놔야지~~😁
nikluge-sa-2022-train-00817		paper_main	explicit		stage1_tuples	1	2 in 1|positive	final_tuples	1	2 in 1|positive	1	2 in 1|positive	1	2 in 1|positive	inputs.gold_tuples	1	2 in 1|positive	1	0	explicit	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0			stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	2 in 1 이라 완전 편하다~!
nikluge-sa-2022-train-00192		paper_main	explicit		stage1_tuples	1	대용량|neutral	final_tuples	1	대용량|positive	1	대용량|positive	1	대용량|positive	inputs.gold_tuples	1	대용량|positive	1	0	explicit	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1			stage2	RuleB,RuleE	stage2_selected	0	0	1	1	0	0	3	0	0	epi_000018;epi_000001;epi_000007	0	0		0.0	0.0	0.0	대용량이라 아낌없이 발라주기!
nikluge-sa-2022-train-01112		paper_main	explicit		stage1_tuples	1	사이즈|positive	final_tuples	1	사이즈|positive	1	사이즈|positive	1	사이즈|positive	inputs.gold_tuples	1	사이즈|positive	1	0	explicit	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0			stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	사이즈가 넉넉하게 나와서 오래입힐수 있어서 좋아요!!
nikluge-sa-2022-train-02964		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	3	머리색|neutral;밝기 처리|neutral;자연스러운 모습|neutral	final_tuples	3	머리색|neutral;밝기 처리|neutral;자연스러운 모습|neutral	3	머리색|neutral;밝기 처리|neutral;자연스러운 모습|neutral	3	머리색|neutral;밝기 처리|neutral;자연스러운 모습|neutral	inputs.gold_tuples	1	|positive	0	1	implicit	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1	0	0	0	1	1	3	CONTRAST_SCOPE		stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		2.0	0.0	-2.0	내 머리색이랑 찰떡같아서 자연스러운 모습을 더 보여주고 싶은데 요렇게 밝기 처리하면 잘 보이려나
nikluge-sa-2022-train-00258		paper_main	explicit		stage1_tuples	1	디자인|positive	final_tuples	1	디자인|positive	1	디자인|positive	1	디자인|positive	inputs.gold_tuples	1	치약|positive	1	0	explicit	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0			stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	디자인이 #예쁜치약 이라 선물로도 제격!!
nikluge-sa-2022-train-01801		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	1	기능|positive	final_tuples	1	기능|positive	1	기능|positive	1	기능|positive	inputs.gold_tuples	1	|positive	0	1	implicit	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	CONTRAST_SCOPE		stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000018;epi_000001;epi_000007	0	0		2.0	0.0	-2.0	작지만 없는 기능이 없넹 ㅋㅋ
nikluge-sa-2022-train-00726		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	1	선물|positive	final_tuples	1	선물|positive	1	선물|positive	1	선물|positive	inputs.gold_tuples	1	|positive	0	1	implicit	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1			stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	이번 #성년의날 제일 좋은 선물이 아닐까싶어요
nikluge-sa-2022-train-01961		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	1	번들거림|negative	final_tuples	1	번들거림|negative	1	번들거림|negative	1	번들거림|negative	inputs.gold_tuples	1	|positive	0	1	implicit	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0			stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000018;epi_000027;epi_000001	0	0		0.0	0.0	0.0	번들거림이없어요~~
nikluge-sa-2022-train-01875		paper_main	explicit		trace_atsa	1	|neutral	final_tuples	1	|neutral	1	|neutral	1	|neutral	inputs.gold_tuples	1	리뉴본달팽이크림|positive	1	0	explicit	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0			stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	주름,미백,피부진정,보습을 #리뉴본달팽이크림 하나로 #피부관리
nikluge-sa-2022-train-01638		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	1	모공|positive	final_tuples	1	모공|positive	1	모공|positive	1	모공|positive	inputs.gold_tuples	1	|positive	0	1	implicit	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0			stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	#모공소멸 됨..
nikluge-sa-2022-train-01128		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	3	선케어|neutral;자연스러운 톤업|positive;자외선 차단|positive	final_tuples	3	선케어|positive;자연스러운 톤업|positive;자외선 차단|positive	3	선케어|positive;자연스러운 톤업|positive;자외선 차단|positive	3	선케어|positive;자연스러운 톤업|positive;자외선 차단|positive	inputs.gold_tuples	2	|positive;선케어|positive	1	1	implicit	0	1	1	1	1	0	1	0	1	1	2	0	1	0	1	0	0	0	1	1	1			stage2	RuleB	stage2_selected	0	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	자외선 차단은 물론이고 자연스러운 톤업되는 선케어를 찾으시면 요거 추천해요~~
nikluge-sa-2022-train-01804		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	2	사용감|positive;피부|neutral	final_tuples	2	사용감|positive;피부|positive	2	사용감|positive;피부|positive	2	사용감|positive;피부|positive	inputs.gold_tuples	1	|positive	0	1	implicit	0	1	1	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	1	1			stage2	RuleB	stage2_selected	0	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	피부에 착 밀착되어 부드러운 사용감 최고네요
nikluge-sa-2022-train-02328		paper_main	explicit		stage1_tuples	1	롱 귀걸이|positive	final_tuples	1	롱 귀걸이|positive	1	롱 귀걸이|positive	1	롱 귀걸이|positive	inputs.gold_tuples	1	롱 귀걸이|positive	1	0	explicit	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0			stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	오늘은 왠지 롱 귀걸이가 땡기는 날
nikluge-sa-2022-train-01748		paper_main	explicit		trace_atsa	1	|neutral	final_tuples	1	|neutral	1	|neutral	1	|neutral	inputs.gold_tuples	1	리파캐럿|positive	1	0	explicit	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1			stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	꾸준히 사용하고 있는 리파캐럿
nikluge-sa-2022-train-00472		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	2	피부 관리|neutral;피부|positive	final_tuples	2	피부 관리|neutral;피부|positive	2	피부 관리|neutral;피부|positive	2	피부 관리|neutral;피부|positive	inputs.gold_tuples	1	|positive	0	1	implicit	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	1	1	2			stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	요즘 지인들 만나면 피부 관리 모하냐는 말을 자주 듣는데 그만큼 제 피부가 좋아졌단 말이겠죠?
nikluge-sa-2022-train-02941		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	1	흡수|positive	final_tuples	1	흡수|positive	1	흡수|positive	1	흡수|positive	inputs.gold_tuples	1	|positive	0	1	implicit	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1			stage2	RuleB		1	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	한 오분 정도가 지나면 흡수가 싹 되더라구요.
nikluge-sa-2022-train-00986		paper_main	implicit	not evaluated for explicit F1	stage1_tuples	1	엄마|neutral	final_tuples	1	엄마|positive	1	엄마|positive	1	엄마|positive	inputs.gold_tuples	1	|positive	0	1	implicit	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0			stage2	RuleB,RuleE	stage2_selected	0	0	1	1	0	0	3	0	0	epi_000001;epi_000007;epi_000009	0	0		0.0	0.0	0.0	엄마도 기대돼^^
