uid,split,case_type,runner_name,backbone_model_id,tokens_in,tokens_out,cost_usd,latency_ms,retries,flags,text_preview,raw_output_preview
nikluge-sa-2022-train-01914,valid,unknown,proposed,gpt-4.1-mini,359,638,0.02273,97349,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""세럼"",
      ""span"": {""start"": 0, ""end"": 2},
      ""normalized"": ""세럼"",
      ""syntactic_head"": ""담아"",
      ""confidence"": 0.95,
      ""rationale"": ""텍스트에 명시적으로 '세럼'이 "
nikluge-sa-2022-train-00244,valid,unknown,proposed,gpt-4.1-mini,364,372,0.0148,70001,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""마스킹 레이어링 앰플"",
      ""span"": {""start"": 0, ""end"": 11},
      ""normalized"": ""마스킹 레이어링 앰플"",
      ""syntactic_head"": ""출시한"",
      ""confidence"": 0.95,
      ""rationale"""
nikluge-sa-2022-train-00969,valid,unknown,proposed,gpt-4.1-mini,343,256,0.011109999999999998,57950,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""아담한사이즈"",
      ""span"": {""start"": 0, ""end"": 6},
      ""normalized"": ""사이즈"",
      ""syntactic_head"": ""사랑스런"",
      ""confidence"": 0.9,
      ""rationale"": ""텍스트 초반에 명사구"
nikluge-sa-2022-train-02916,valid,unknown,proposed,gpt-4.1-mini,357,463,0.01746,57006,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""자외선"",
      ""span"": {""start"": 0, ""end"": 3},
      ""normalized"": ""자외선"",
      ""syntactic_head"": ""자극받은"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서 '자외선'이 '"
nikluge-sa-2022-train-01320,valid,unknown,proposed,gpt-4.1-mini,366,400,0.01566,56304,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""pH 밸런스"",
      ""span"": {""start"": 4, ""end"": 10},
      ""normalized"": ""pH 밸런스"",
      ""syntactic_head"": ""유지시켜주는"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서"
nikluge-sa-2022-train-01649,valid,unknown,proposed,gpt-4.1-mini,339,283,0.011879999999999998,53650,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""리무버"",
      ""span"": {""start"": 0, ""end"": 3},
      ""normalized"": ""리무버"",
      ""syntactic_head"": ""없어"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서 '리무버 없이'라는"
nikluge-sa-2022-train-00536,valid,unknown,proposed,gpt-4.1-mini,362,470,0.01772,53405,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""피부 단백질 구조"",
      ""span"": {""start"": 0, ""end"": 9},
      ""normalized"": ""피부 단백질 구조"",
      ""syntactic_head"": ""흡사한"",
      ""confidence"": 0.95,
      ""rationale"": ""문장"
nikluge-sa-2022-train-00617,valid,unknown,proposed,gpt-4.1-mini,363,308,0.01287,51599,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""향"",
      ""span"": {""start"": 8, ""end"": 9},
      ""normalized"": ""향"",
      ""syntactic_head"": ""맡으면"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서 '좋은 향 맡으면' 구문"
nikluge-sa-2022-train-01495,valid,unknown,proposed,gpt-4.1-mini,360,334,0.01362,51000,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""미세버블"",
      ""span"": {""start"": 5, ""end"": 9},
      ""normalized"": ""미세버블"",
      ""syntactic_head"": ""제거해주고"",
      ""confidence"": 0.95,
      ""rationale"": ""미세버블이 메이크업"
nikluge-sa-2022-train-02909,valid,unknown,proposed,gpt-4.1-mini,363,326,0.01341,45031,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""까무잡잡한 부위"",
      ""span"": {""start"": 0, ""end"": 8},
      ""normalized"": ""까무잡잡한 부위"",
      ""syntactic_head"": ""사용하니"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에"
