text_id	gold_type	f1_eval_note	gold_pairs	gold_n_pairs	final_n_pairs	matches_final_vs_gold	tag_empty_aspect	tag_long_term	tag_taxonomy_like	tag_summary	text	uid	profile	stage1_tuple_source	stage1_n_pairs	stage1_pairs	final_tuple_source	final_pairs	gold_tuple_source	delta_pairs_count	stage1_to_final_changed	stage1_to_final_changed_from_delta	guided_change	unguided_drift	matches_stage1_vs_gold	new_correct_in_final	new_wrong_in_final	risk_flagged	stage1_structural_risk	stage2_structural_risk	risk_resolution	polarity_conflict_raw	polarity_conflict_after_rep	stage_mismatch	unsupported_polarity	aspect_hallucination	alignment_failure_count	validator_s1_risk_ids	validator_s2_risk_ids	moderator_selected_stage	moderator_rules	episodic_memory_effect	memory_enabled	memory_retrieved_n	memory_used	memory_ids_or_hash
nikluge-sa-2022-train-02669	explicit		쉬드엘아티스트웨어스킨핏듀얼컨실러|positive	1	2	0	0	1	0	long	#쉬드엘아티스트웨어스킨핏듀얼컨실러 내마음 #컨실러순위 0번 😙😙		paper_main	stage1_tuples	1	컨실러|neutral	final_tuples	컨실러|neutral;컨실러|positive	inputs.gold_tuples	1	1	0	0	1	0	0	2	1	1	0	1	1	1	0	1	1	1			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-01786	implicit	not evaluated for explicit F1	|positive	1	2	0	1	0	0	empty	파우치에 쏙 넣고 자주 자주 발라줘야겠어요		paper_main	stage1_tuples	1	파우치|neutral	final_tuples	파우치|neutral;파우치|positive	inputs.gold_tuples	1	1	0	0	1	0	0	2	1	1	0	1	1	1	0	0	0	0			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-02482	implicit	not evaluated for explicit F1	|positive;젤제형|positive	2	5	0	1	0	0	empty	여름에 사용하기 좋은 젤제형으로 부드럽고 촉촉한 발림성 피부에 빠르게 밀착되어 겉돌지않고 끈적이지 않아 산뜻한느낌!!		paper_main	stage1_tuples	4	발림성|neutral;산뜻한느낌|neutral;젤제형|neutral;피부|neutral	final_tuples	발림성|neutral;산뜻한느낌|positive;젤제형|neutral;피부|neutral;피부|positive	inputs.gold_tuples	1	1	1	1	0	0	0	5	1	1	0	1	1	1	0	1	1	4			stage2	RuleB	1	0	0	0	
nikluge-sa-2022-train-01939	implicit	not evaluated for explicit F1	|positive	1	3	0	1	0	0	empty	샤워후 가볍게 뿌려주면 잔향도 오래가 머리부터 발끝까지 향기로운 여자~		paper_main	stage1_tuples	2	머리부터 발끝까지 향기로운 여자|neutral;잔향|neutral	final_tuples	머리부터 발끝까지 향기로운 여자|negative;잔향|neutral;잔향|positive	inputs.gold_tuples	1	1	1	1	0	0	0	3	1	1	0	1	1	1	0	1	1	2			stage2	RuleB	1	0	0	0	
nikluge-sa-2022-train-00565	implicit	not evaluated for explicit F1	|positive	1	2	0	1	0	0	empty	이거슨 레알 신세계야😱		paper_main	stage1_tuples	1	신세계|neutral	final_tuples	신세계|neutral;신세계|positive	inputs.gold_tuples	1	1	0	0	1	0	0	2	1	1	0	1	1	1	0	0	0	0			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-02384	implicit	not evaluated for explicit F1	|positive	1	4	0	1	0	0	empty	욕실, 다용도실,발코니 등 다양한곳에서 사용가능하니👍		paper_main	stage1_tuples	3	다용도실|neutral;발코니|neutral;욕실|neutral	final_tuples	다용도실|neutral;발코니|neutral;발코니|positive;욕실|neutral	inputs.gold_tuples	1	1	0	0	1	0	0	4	1	1	0	1	1	1	0	1	1	2			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-00536	explicit		마스크팩|positive	1	6	0	0	0	0		피부 단백질 구조와 가장 흡사한 고가의 캐비아를 저렴한 가격에 마스크팩으로 피부관리를 할 수 있으니 #대박템 !!💜		paper_main	stage1_tuples	5	고가의 캐비아|neutral;마스크팩|neutral;저렴한 가격|neutral;피부 단백질 구조|neutral;피부관리|neutral	final_tuples	고가의 캐비아|positive;마스크팩|neutral;저렴한 가격|neutral;저렴한 가격|positive;피부 단백질 구조|neutral;피부관리|positive	inputs.gold_tuples	1	1	1	1	0	0	0	6	1	1	0	1	1	1	0	1	1	4			stage2	RuleB	1	0	0	0	
nikluge-sa-2022-train-01823	implicit	not evaluated for explicit F1	|positive	1	2	0	1	0	0	empty	요즘 건조해서 요거 안쓸수가없어요		paper_main	stage1_tuples	1	건조|neutral	final_tuples	건조|neutral;건조|positive	inputs.gold_tuples	1	1	0	0	1	0	0	2	1	1	0	1	1	1	0	0	0	0			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-01707	implicit	not evaluated for explicit F1	|positive	1	3	0	1	0	0	empty	자기 전 듬뿍 발라 수면팩으로 사용하면 아침에 피부가 보들보들 쫀쫀하느낌이에요		paper_main	stage1_tuples	2	수면팩|neutral;피부|neutral	final_tuples	수면팩|neutral;피부|neutral;피부|positive	inputs.gold_tuples	1	1	0	0	1	0	0	3	1	1	0	1	1	1	0	1	1	1			stage2	RuleB	0	0	0	0	
nikluge-sa-2022-train-02651	implicit	not evaluated for explicit F1	|positive	1	2	0	1	0	0	empty	#각질제거 #피지제거 바르기만 하면 끝!		paper_main	stage1_tuples	2	각질제거|neutral;피지제거|neutral	final_tuples	각질제거|neutral;피지제거|negative	inputs.gold_tuples	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0			stage2	RuleB	0	0	0	0	
