uid,split,case_type,runner_name,backbone_model_id,tokens_in,tokens_out,cost_usd,latency_ms,retries,flags,text_preview,raw_output_preview
nikluge-sa-2022-train-01305,valid,unknown,proposed,gpt-4.1-mini,352,848,0.02896,36132,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""triplets"": [
    {
      ""aspect_term"": ""얼음정수기 기능"",
      ""polarity"": ""positive"",
      ""evidence"": ""얼음정수기 기능 이외에도 냉장고가 갖고 있어야 할 기본적인 기능은 물론이고"",
      ""span"": ""얼음정수기 기능 이외에도 냉장고가 갖고 있어야 할 기본적인 기능"
nikluge-sa-2022-train-00336,valid,unknown,proposed,gpt-4.1-mini,306,255,0.01071,26509,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""triplets"": [
    {
      ""aspect_term"": ""강한 치약"",
      ""polarity"": ""negative"",
      ""opinion_term"": ""입이 얼얼할정도로 강한"",
      ""evidence"": ""입이 얼얼할정도로 강한 치약들은 코가찡 맵고 몸이 안좋은 기분인데"",
      ""span"": ""입이 얼얼"
nikluge-sa-2022-train-00189,valid,unknown,proposed,gpt-4.1-mini,307,268,0.01111,26383,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""triplets"": [
    {
      ""aspect_term"": ""작은사이즈의 #스틱비누"",
      ""polarity"": ""positive"",
      ""opinion_term"": ""좋고"",
      ""evidence"": ""작은사이즈의 #스틱비누 휴대하며 사용중인데 가지고 다니며 사용하니 아이들 손씻길때도 좋고"",
      ""spa"
nikluge-sa-2022-train-01875,valid,unknown,proposed,gpt-4.1-mini,289,384,0.014410000000000001,26032,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""triplets"": [
    {
      ""aspect_term"": ""주름"",
      ""polarity"": ""positive"",
      ""evidence"": ""주름,미백,피부진정,보습을 #리뉴본달팽이크림 하나로 #피부관리"",
      ""confidence"": 0.9,
      ""rationale"": ""The text lists ski"
nikluge-sa-2022-train-02562,valid,unknown,proposed,gpt-4.1-mini,327,248,0.01071,25966,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""triplets"": [
    {
      ""aspect_term"": ""강한 화장품"",
      ""polarity"": ""negative"",
      ""opinion_term"": ""찾지 않게 되더라구요"",
      ""evidence"": ""강한 #화장품을 찾지 않게 되더라구요"",
      ""span"": ""강한 #화장품을 찾지 않게 되더라구요"""
nikluge-sa-2022-train-01621,valid,unknown,proposed,gpt-4.1-mini,308,336,0.013159999999999998,25940,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""triplets"": [
    {
      ""aspect_term"": ""두피활력"",
      ""polarity"": ""positive"",
      ""opinion_term"": ""촉진"",
      ""evidence"": ""인삼과 강황 발효 에너지가 두피활력을 촉진하고"",
      ""span"": ""인삼과 강황 발효 에너지가 두피활력을 촉진하고"","
nikluge-sa-2022-train-01877,valid,unknown,proposed,gpt-4.1-mini,275,120,0.00635,25298,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""triplets"": [
    {
      ""aspect_term"": ""올인원크림"",
      ""polarity"": ""positive"",
      ""opinion_term"": ""간편하게 관리하는"",
      ""evidence"": ""간편하게 #올인원크림 으로 관리하는 여자"",
      ""span"": ""간편하게 #올인원크림 으로 관리하는"",
"
nikluge-sa-2022-train-01235,valid,unknown,proposed,gpt-4.1-mini,331,303,0.0124,25161,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""triplets"": [
    {
      ""aspect_term"": ""음식물쓰레기"",
      ""polarity"": ""negative"",
      ""opinion_term"": ""고민"",
      ""evidence"": ""여름철이라 #음식물쓰레기 때문에 늘 고민인데"",
      ""span"": ""여름철이라 #음식물쓰레기 때문에 늘 고민인데"","
nikluge-sa-2022-train-00987,valid,unknown,proposed,gpt-4.1-mini,278,125,0.006529999999999999,25050,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""triplets"": [
    {
      ""aspect_term"": ""아이립밤"",
      ""polarity"": ""positive"",
      ""opinion_term"": ""안성맞춤"",
      ""evidence"": ""엄마따라하기를 좋아하는 아이들에게 안성맞춤"",
      ""span"": ""안성맞춤 #아이립밤"",
      ""confide"
nikluge-sa-2022-train-00726,valid,unknown,proposed,gpt-4.1-mini,276,120,0.006359999999999999,23626,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""triplets"": [
    {
      ""aspect_term"": ""선물"",
      ""polarity"": ""positive"",
      ""opinion_term"": ""좋은"",
      ""evidence"": ""제일 좋은 선물이 아닐까싶어요"",
      ""span"": ""제일 좋은 선물이 아닐까싶어요"",
      ""confidence"":"
