uid,run_id,timestamp_utc,split,case_type,structural_risk,parse_failed,generate_failed,fallback_used,polarity_conflict,final_triplet_count,stage1_triplet_count,text_preview
nikluge-sa-2022-train-02669,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,2,2,
nikluge-sa-2022-train-02211,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,2,2,
nikluge-sa-2022-train-01786,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,2,2,
nikluge-sa-2022-train-02482,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,5,5,
nikluge-sa-2022-train-01939,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,5,5,
nikluge-sa-2022-train-00565,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,2,2,
nikluge-sa-2022-train-01721,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,6,6,
nikluge-sa-2022-train-02384,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,4,4,
nikluge-sa-2022-train-00536,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,6,6,
nikluge-sa-2022-train-01823,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,2,2,
nikluge-sa-2022-train-01707,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,3,3,
nikluge-sa-2022-train-02651,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,3,3,
nikluge-sa-2022-train-02131,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,3,3,
nikluge-sa-2022-train-01813,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,4,4,
nikluge-sa-2022-train-00356,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,2,2,
nikluge-sa-2022-train-02916,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,6,6,
nikluge-sa-2022-train-00546,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,2,2,
nikluge-sa-2022-train-00016,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,2,2,
nikluge-sa-2022-train-02850,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,False,3,3,
nikluge-sa-2022-train-00037,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,4,4,
nikluge-sa-2022-train-01941,experiment_real_n100_seed1_c2_1__seed1_proposed,2026-02-09T07:36:18.333595Z,valid,unknown,False,False,False,False,True,2,2,
