uid,split,case_type,runner_name,backbone_model_id,tokens_in,tokens_out,cost_usd,latency_ms,retries,flags,text_preview,raw_output_preview
nikluge-sa-2022-train-00735,valid,unknown,proposed,gpt-4.1-mini,382,580,0.02122,38739,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""마더케이 물티슈"",
      ""span"": {""start"": 1, ""end"": 9},
      ""normalized"": ""마더케이 물티슈"",
      ""syntactic_head"": ""뽑혀"",
      ""confidence"": 0.95,
      ""rationale"": ""본문에서 "
nikluge-sa-2022-train-00672,valid,unknown,proposed,gpt-4.1-mini,356,527,0.019370000000000002,37887,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""에스테틱"",
      ""span"": {""start"": 3, ""end"": 7},
      ""normalized"": ""에스테틱"",
      ""syntactic_head"": ""가지"",
      ""confidence"": 0.9,
      ""rationale"": ""문장에서 '에스테틱'이 피"
nikluge-sa-2022-train-00028,valid,unknown,proposed,gpt-4.1-mini,347,463,0.01736,37520,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""각진 인생"",
      ""span"": {""start"": 0, ""end"": 5},
      ""normalized"": ""각진 인생"",
      ""syntactic_head"": ""좋고"",
      ""confidence"": 0.9,
      ""rationale"": ""문장 초반에 명시적으로"
nikluge-sa-2022-train-01235,valid,unknown,proposed,gpt-4.1-mini,391,681,0.02434,36254,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""음식물쓰레기"",
      ""span"": {""start"": 7, ""end"": 13},
      ""normalized"": ""음식물쓰레기"",
      ""syntactic_head"": ""고민인데"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서 '"
nikluge-sa-2022-train-02581,valid,unknown,proposed,gpt-4.1-mini,365,581,0.02108,34799,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""지성"",
      ""span"": {""start"": 0, ""end"": 2},
      ""normalized"": ""지성 피부"",
      ""syntactic_head"": ""그런지"",
      ""confidence"": 0.9,
      ""rationale"": ""문장 초반 '지성이라 그런"
nikluge-sa-2022-train-00149,valid,unknown,proposed,gpt-4.1-mini,373,527,0.019540000000000002,34389,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""모기기피제"",
      ""span"": {""start"": 19, ""end"": 23},
      ""normalized"": ""모기기피제"",
      ""syntactic_head"": ""쓰는"",
      ""confidence"": 0.95,
      ""rationale"": ""본문에서 '모기기"
nikluge-sa-2022-train-02879,valid,unknown,proposed,gpt-4.1-mini,375,355,0.0144,32153,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""민감한 아기 피부"",
      ""span"": {""start"": 0, ""end"": 8},
      ""normalized"": ""아기 피부"",
      ""syntactic_head"": ""사용하여"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서 "
nikluge-sa-2022-train-01428,valid,unknown,proposed,gpt-4.1-mini,348,378,0.014820000000000002,31007,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""친환경세제"",
      ""span"": {""start"": 1, ""end"": 6},
      ""normalized"": ""친환경 세제"",
      ""syntactic_head"": ""인증받아"",
      ""confidence"": 0.95,
      ""rationale"": ""텍스트에서 '친"
nikluge-sa-2022-train-01089,valid,unknown,proposed,gpt-4.1-mini,356,418,0.0161,29094,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""화이트 베이스"",
      ""span"": {""start"": 0, ""end"": 6},
      ""normalized"": ""화이트 베이스"",
      ""syntactic_head"": ""높이구"",
      ""confidence"": 0.95,
      ""rationale"": ""문장 초반에"
nikluge-sa-2022-train-01128,valid,unknown,proposed,gpt-4.1-mini,348,303,0.01257,28147,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""자외선 차단"",
      ""span"": {""start"": 0, ""end"": 6},
      ""normalized"": ""자외선 차단"",
      ""syntactic_head"": ""찾으시면"",
      ""confidence"": 0.95,
      ""rationale"": ""문장 초반에 "
