uid,split,case_type,runner_name,backbone_model_id,tokens_in,tokens_out,cost_usd,latency_ms,retries,flags,text_preview,raw_output_preview
nikluge-sa-2022-train-01305,valid,unknown,proposed,gpt-4.1-mini,413,667,0.02414,90875,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""얼음정수기 기능"",
      ""span"": {""start"": 0, ""end"": 8},
      ""normalized"": ""얼음정수기 기능"",
      ""syntactic_head"": ""갖고 있어야"",
      ""confidence"": 0.95,
      ""rationale"": ""문"
nikluge-sa-2022-train-01621,valid,unknown,proposed,gpt-4.1-mini,369,567,0.0207,81862,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""인삼"",
      ""span"": {""start"": 0, ""end"": 2},
      ""normalized"": ""인삼"",
      ""syntactic_head"": ""촉진하고"",
      ""confidence"": 0.95,
      ""rationale"": ""인삼과 강황 발효 에너지가 "
nikluge-sa-2022-train-02562,valid,unknown,proposed,gpt-4.1-mini,388,567,0.02089,75057,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""여드름용"",
      ""span"": {""start"": 0, ""end"": 4},
      ""normalized"": ""여드름용"",
      ""syntactic_head"": ""쳐발쳐발"",
      ""confidence"": 0.9,
      ""rationale"": ""텍스트 초반에 명사형 "
nikluge-sa-2022-train-00536,valid,unknown,proposed,gpt-4.1-mini,362,500,0.018619999999999998,66521,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""피부 단백질 구조"",
      ""span"": {""start"": 0, ""end"": 9},
      ""normalized"": ""피부 단백질 구조"",
      ""syntactic_head"": ""흡사한"",
      ""confidence"": 0.95,
      ""rationale"": ""문장"
nikluge-sa-2022-train-01235,valid,unknown,proposed,gpt-4.1-mini,391,674,0.024130000000000002,63068,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""음식물쓰레기"",
      ""span"": {""start"": 7, ""end"": 13},
      ""normalized"": ""음식물쓰레기"",
      ""syntactic_head"": ""때문에"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서 '음"
nikluge-sa-2022-train-00107,valid,unknown,proposed,gpt-4.1-mini,371,486,0.01829,59487,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""블루투스 제품"",
      ""span"": {""start"": 11, ""end"": 17},
      ""normalized"": ""블루투스 제품"",
      ""syntactic_head"": ""감안하면"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에"
nikluge-sa-2022-train-00028,valid,unknown,proposed,gpt-4.1-mini,347,475,0.01772,59413,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""각진 인생"",
      ""span"": {""start"": 0, ""end"": 5},
      ""normalized"": ""각진 인생"",
      ""syntactic_head"": ""좋고"",
      ""confidence"": 0.9,
      ""rationale"": ""문장 초반에 명사구로 "
nikluge-sa-2022-train-00336,valid,unknown,proposed,gpt-4.1-mini,367,540,0.01987,58740,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""입"",
      ""span"": {""start"": 0, ""end"": 1},
      ""normalized"": ""입"",
      ""syntactic_head"": ""얼얼할정도로 강한 치약들은"",
      ""confidence"": 0.9,
      ""rationale"": ""문장 초반 '입"
nikluge-sa-2022-train-01356,valid,unknown,proposed,gpt-4.1-mini,376,373,0.01495,58340,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""피부결"",
      ""span"": {""start"": 5, ""end"": 8},
      ""normalized"": ""피부결"",
      ""syntactic_head"": ""중요한데"",
      ""confidence"": 1.0,
      ""rationale"": ""문장에서 '피부결이 중요한"
nikluge-sa-2022-train-00189,valid,unknown,proposed,gpt-4.1-mini,368,329,0.01355,53640,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""작은사이즈의 #스틱비누"",
      ""span"": {""start"": 5, ""end"": 17},
      ""normalized"": ""스틱비누"",
      ""syntactic_head"": ""사용중인데"",
      ""confidence"": 0.95,
      ""rationale"": ""문"
nikluge-sa-2022-train-01875,valid,unknown,proposed,gpt-4.1-mini,349,423,0.01618,51052,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""주름"",
      ""span"": {""start"": 0, ""end"": 2},
      ""normalized"": ""주름"",
      ""syntactic_head"": ""관리"",
      ""confidence"": 0.9,
      ""rationale"": ""문장 내 '주름'은 피부 관리와 "
nikluge-sa-2022-train-00237,valid,unknown,proposed,gpt-4.1-mini,352,435,0.01657,50164,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""인체 적용 시험"",
      ""span"": {""start"": 0, ""end"": 8},
      ""normalized"": ""인체 적용 시험"",
      ""syntactic_head"": ""확인된"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서"
nikluge-sa-2022-train-01287,valid,unknown,proposed,gpt-4.1-mini,358,369,0.01465,50102,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""수용성 저분자 어류콜라겐성분"",
      ""span"": {""start"": 0, ""end"": 14},
      ""normalized"": ""수용성 저분자 어류 콜라겐 성분"",
      ""syntactic_head"": ""베이스로"",
      ""confidence"": 0.95,
      "
nikluge-sa-2022-train-00077,valid,unknown,proposed,gpt-4.1-mini,339,268,0.01143,46717,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""일류 기업"",
      ""span"": {""start"": 3, ""end"": 7},
      ""normalized"": ""일류 기업"",
      ""syntactic_head"": ""못하지"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서 '일류 기"
nikluge-sa-2022-train-00969,valid,unknown,proposed,gpt-4.1-mini,343,270,0.011529999999999999,46495,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""아담한사이즈"",
      ""span"": {""start"": 0, ""end"": 6},
      ""normalized"": ""아담한 사이즈"",
      ""syntactic_head"": ""사랑스런"",
      ""confidence"": 0.9,
      ""rationale"": ""텍스트 초반에"
nikluge-sa-2022-train-01128,valid,unknown,proposed,gpt-4.1-mini,348,269,0.01155,45383,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""자외선 차단"",
      ""span"": {""start"": 0, ""end"": 6},
      ""normalized"": ""자외선 차단"",
      ""syntactic_head"": ""찾으시면"",
      ""confidence"": 0.95,
      ""rationale"": ""문장 초반에 "
nikluge-sa-2022-train-00320,valid,unknown,proposed,gpt-4.1-mini,366,300,0.01266,42244,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""버블폼"",
      ""span"": {""start"": 8, ""end"": 12},
      ""normalized"": ""버블폼"",
      ""syntactic_head"": ""있어서"",
      ""confidence"": 0.95,
      ""rationale"": ""텍스트에 '#버블폼'으로"
nikluge-sa-2022-train-00644,valid,unknown,proposed,gpt-4.1-mini,342,193,0.00921,39221,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""사용감"",
      ""span"": {""start"": 4, ""end"": 7},
      ""normalized"": ""사용감"",
      ""syntactic_head"": ""좋은데"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서 '사용감'이 '좋"
nikluge-sa-2022-train-00643,valid,unknown,proposed,gpt-4.1-mini,349,221,0.01012,38186,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""99.9% 자연유래의 착한 성분들"",
      ""span"": {""start"": 0, ""end"": 16},
      ""normalized"": ""자연유래 성분"",
      ""syntactic_head"": ""안심하고 사용할 수 있다"",
      ""confidence"": 0.95,
    "
nikluge-sa-2022-train-02944,valid,unknown,proposed,gpt-4.1-mini,346,222,0.01012,36566,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""바르고 난 직후"",
      ""span"": {""start"": 3, ""end"": 11},
      ""normalized"": ""바른 후 직후"",
      ""syntactic_head"": ""맵들거리지만"",
      ""confidence"": 0.9,
      ""rationale"": ""문장"
