uid,split,case_type,runner_name,backbone_model_id,tokens_in,tokens_out,cost_usd,latency_ms,retries,flags,text_preview,raw_output_preview
nikluge-sa-2022-train-01305,valid,unknown,proposed,gpt-4.1-mini,413,666,0.02411,104937,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""얼음정수기 기능"",
      ""span"": {""start"": 0, ""end"": 8},
      ""normalized"": ""얼음정수기 기능"",
      ""syntactic_head"": ""갖고 있어야"",
      ""confidence"": 0.95,
      ""rationale"": ""문"
nikluge-sa-2022-train-01901,valid,unknown,proposed,gpt-4.1-mini,346,356,0.014139999999999998,94409,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""갈라지는 발"",
      ""span"": {""start"": 0, ""end"": 7},
      ""normalized"": ""발"",
      ""syntactic_head"": ""사용가능"",
      ""confidence"": 0.95,
      ""rationale"": ""문장 첫 부분에 명시된"
nikluge-sa-2022-train-02858,valid,unknown,proposed,gpt-4.1-mini,363,302,0.01269,91793,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""미생물"",
      ""span"": {""start"": 8, ""end"": 11},
      ""normalized"": ""미생물"",
      ""syntactic_head"": ""테스트하고"",
      ""confidence"": 0.95,
      ""rationale"": ""본문에서 '미생물'은"
nikluge-sa-2022-train-01012,valid,unknown,proposed,gpt-4.1-mini,349,401,0.015519999999999999,91243,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""7L 초대용량"",
      ""span"": {""start"": 0, ""end"": 7},
      ""normalized"": ""7L 대용량"",
      ""syntactic_head"": ""인데"",
      ""confidence"": 0.95,
      ""rationale"": ""문장 초반에 '"
nikluge-sa-2022-train-01814,valid,unknown,proposed,gpt-4.1-mini,339,210,0.00969,89463,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""미백주름개선"",
      ""span"": {""start"": 0, ""end"": 7},
      ""normalized"": ""미백 주름 개선"",
      ""syntactic_head"": ""발라도"",
      ""confidence"": 0.95,
      ""rationale"": ""문장 시작 "
nikluge-sa-2022-train-02891,valid,unknown,proposed,gpt-4.1-mini,357,435,0.016620000000000003,86267,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""천연재료"",
      ""span"": {""start"": 0, ""end"": 4},
      ""normalized"": ""천연재료"",
      ""syntactic_head"": ""이용하여"",
      ""confidence"": 0.95,
      ""rationale"": ""문장 시작 부분에 명"
nikluge-sa-2022-train-00792,valid,unknown,proposed,gpt-4.1-mini,345,373,0.01464,84545,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""기존 궐련형 전자담배"",
      ""span"": {""start"": 0, ""end"": 10},
      ""normalized"": ""기존 궐련형 전자담배"",
      ""syntactic_head"": ""보완하고"",
      ""confidence"": 0.95,
      ""rationale"
nikluge-sa-2022-train-02207,valid,unknown,proposed,gpt-4.1-mini,329,101,0.006319999999999999,82933,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""피부"",
      ""span"": {""start"": 7, ""end"": 9},
      ""normalized"": ""피부"",
      ""syntactic_head"": ""밀착"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서 '피부에 밀착' 구문에"
nikluge-sa-2022-train-00672,valid,unknown,proposed,gpt-4.1-mini,356,490,0.01826,81283,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""에스테틱"",
      ""span"": {""start"": 3, ""end"": 7},
      ""normalized"": ""에스테틱"",
      ""syntactic_head"": ""가지"",
      ""confidence"": 0.9,
      ""rationale"": ""에스테틱이 피부과와 대비되"
nikluge-sa-2022-train-02753,valid,unknown,proposed,gpt-4.1-mini,340,188,0.00904,80209,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""착한성분"",
      ""span"": {""start"": 0, ""end"": 5},
      ""normalized"": ""착한 성분"",
      ""syntactic_head"": ""자극없어서"",
      ""confidence"": 0.9,
      ""rationale"": ""문장에서 '착한성분"
nikluge-sa-2022-train-01692,valid,unknown,proposed,gpt-4.1-mini,369,296,0.01257,80027,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""부시시함"",
      ""span"": {""start"": 9, ""end"": 12},
      ""normalized"": ""부시시함"",
      ""syntactic_head"": ""이었는데"",
      ""confidence"": 0.95,
      ""rationale"": ""히피펌 후 상태를 "
