uid,split,case_type,runner_name,backbone_model_id,tokens_in,tokens_out,cost_usd,latency_ms,retries,flags,text_preview,raw_output_preview
nikluge-sa-2022-train-01939,valid,unknown,proposed,gpt-4.1-mini,351,335,0.01356,105575,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""샤워후"",
      ""span"": {""start"": 0, ""end"": 3},
      ""normalized"": ""샤워 후"",
      ""syntactic_head"": ""뿌려주면"",
      ""confidence"": 0.9,
      ""rationale"": ""샤워 후에 뿌리는 행위의"
nikluge-sa-2022-train-02482,valid,unknown,proposed,gpt-4.1-mini,366,381,0.01509,102290,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""젤제형"",
      ""span"": {""start"": 11, ""end"": 14},
      ""normalized"": ""젤 제형"",
      ""syntactic_head"": ""좋은"",
      ""confidence"": 0.95,
      ""rationale"": ""텍스트에서 '젤제형'이"
nikluge-sa-2022-train-00746,valid,unknown,proposed,gpt-4.1-mini,377,579,0.02114,101679,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""샤워"",
      ""span"": {""start"": 11, ""end"": 13},
      ""normalized"": ""샤워"",
      ""syntactic_head"": ""사용하는"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서 '하루 사용하는"
nikluge-sa-2022-train-00536,valid,unknown,proposed,gpt-4.1-mini,362,480,0.01802,101128,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""피부 단백질 구조"",
      ""span"": {""start"": 0, ""end"": 9},
      ""normalized"": ""피부 단백질 구조"",
      ""syntactic_head"": ""흡사한"",
      ""confidence"": 0.95,
      ""rationale"": ""문장"
nikluge-sa-2022-train-00643,valid,unknown,proposed,gpt-4.1-mini,349,235,0.01054,98938,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""99.9% 자연유래의 착한 성분들"",
      ""span"": {""start"": 0, ""end"": 17},
      ""normalized"": ""자연유래 성분"",
      ""syntactic_head"": ""안심하고 사용할 수 있다"",
      ""confidence"": 0.95,
    "
nikluge-sa-2022-train-01013,valid,unknown,proposed,gpt-4.1-mini,345,283,0.01194,98051,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""필립스"",
      ""span"": {""start"": 0, ""end"": 3},
      ""normalized"": ""필립스"",
      ""syntactic_head"": ""아니지만"",
      ""confidence"": 0.9,
      ""rationale"": ""문장에서 '필립스같은 유명"
nikluge-sa-2022-train-01721,valid,unknown,proposed,gpt-4.1-mini,369,373,0.01488,97089,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""룰"",
      ""span"": {""start"": 7, ""end"": 9},
      ""normalized"": ""룰"",
      ""syntactic_head"": ""이해못해서"",
      ""confidence"": 1.0,
      ""rationale"": ""문장에서 '&name&는 룰을 "
nikluge-sa-2022-train-01266,valid,unknown,proposed,gpt-4.1-mini,369,465,0.01764,97067,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""수박추출물"",
      ""span"": {""start"": 0, ""end"": 5},
      ""normalized"": ""수박추출물"",
      ""syntactic_head"": ""함유로"",
      ""confidence"": 0.95,
      ""rationale"": ""문장 첫 부분에서 "
nikluge-sa-2022-train-01320,valid,unknown,proposed,gpt-4.1-mini,366,392,0.01542,96110,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""pH 밸런스"",
      ""span"": {""start"": 4, ""end"": 10},
      ""normalized"": ""pH 밸런스"",
      ""syntactic_head"": ""유지시켜주는"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서"
nikluge-sa-2022-train-01914,valid,unknown,proposed,gpt-4.1-mini,359,451,0.01712,95976,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""세럼"",
      ""span"": {""start"": 0, ""end"": 2},
      ""normalized"": ""세럼"",
      ""syntactic_head"": ""담아"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서 '세럼'이 '한병에 담"
nikluge-sa-2022-train-01761,valid,unknown,proposed,gpt-4.1-mini,362,334,0.01364,94088,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""아이라인 문신"",
      ""span"": {""start"": 1, ""end"": 7},
      ""normalized"": ""아이라인 문신"",
      ""syntactic_head"": ""있어"",
      ""confidence"": 0.95,
      ""rationale"": ""문장 '아이라"
nikluge-sa-2022-train-01495,valid,unknown,proposed,gpt-4.1-mini,360,323,0.01329,93915,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""미세버블"",
      ""span"": {""start"": 5, ""end"": 9},
      ""normalized"": ""미세버블"",
      ""syntactic_head"": ""제거해주고"",
      ""confidence"": 0.95,
      ""rationale"": ""미세버블이 메이크업"
