uid,split,case_type,runner_name,backbone_model_id,tokens_in,tokens_out,cost_usd,latency_ms,retries,flags,text_preview,raw_output_preview
nikluge-sa-2022-train-01305,valid,unknown,proposed,gpt-4.1-mini,413,660,0.02393,68996,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""얼음정수기 기능"",
      ""span"": {""start"": 0, ""end"": 8},
      ""normalized"": ""얼음정수기 기능"",
      ""syntactic_head"": ""갖고 있어야"",
      ""confidence"": 0.95,
      ""rationale"": ""문"
nikluge-sa-2022-train-02562,valid,unknown,proposed,gpt-4.1-mini,388,614,0.0223,63939,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""여드름용"",
      ""span"": {""start"": 0, ""end"": 4},
      ""normalized"": ""여드름용"",
      ""syntactic_head"": ""쳐발쳐발 하던"",
      ""confidence"": 0.95,
      ""rationale"": ""텍스트 초반에 "
nikluge-sa-2022-train-00107,valid,unknown,proposed,gpt-4.1-mini,371,482,0.018170000000000002,61371,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""블루투스 제품"",
      ""span"": {""start"": 11, ""end"": 17},
      ""normalized"": ""블루투스 제품"",
      ""syntactic_head"": ""감안하면"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에"
nikluge-sa-2022-train-01235,valid,unknown,proposed,gpt-4.1-mini,391,678,0.02425,61197,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""음식물쓰레기"",
      ""span"": {""start"": 6, ""end"": 12},
      ""normalized"": ""음식물쓰레기"",
      ""syntactic_head"": ""고민인데"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서 '"
nikluge-sa-2022-train-00336,valid,unknown,proposed,gpt-4.1-mini,367,610,0.02197,56860,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""입"",
      ""span"": {""start"": 0, ""end"": 1},
      ""normalized"": ""입"",
      ""syntactic_head"": ""얼얼할정도로 강한 치약들은"",
      ""confidence"": 0.9,
      ""rationale"": ""문장 시작 부분"
nikluge-sa-2022-train-01621,valid,unknown,proposed,gpt-4.1-mini,369,586,0.02127,51802,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""인삼"",
      ""span"": {""start"": 0, ""end"": 2},
      ""normalized"": ""인삼"",
      ""syntactic_head"": ""촉진하고"",
      ""confidence"": 0.95,
      ""rationale"": ""문장에서 '인삼과 강황 발효"
nikluge-sa-2022-train-00536,valid,unknown,proposed,gpt-4.1-mini,362,471,0.017750000000000002,51040,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""피부 단백질 구조"",
      ""span"": {""start"": 0, ""end"": 9},
      ""normalized"": ""피부 단백질 구조"",
      ""syntactic_head"": ""흡사한"",
      ""confidence"": 0.95,
      ""rationale"": ""본문"
nikluge-sa-2022-train-00028,valid,unknown,proposed,gpt-4.1-mini,347,466,0.01745,49731,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""각진 인생"",
      ""span"": {""start"": 0, ""end"": 5},
      ""normalized"": ""각진 인생"",
      ""syntactic_head"": ""좋고"",
      ""confidence"": 0.9,
      ""rationale"": ""문장 첫 부분에 명시된"
nikluge-sa-2022-train-01287,valid,unknown,proposed,gpt-4.1-mini,358,387,0.015189999999999999,49591,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""수용성 저분자 어류콜라겐성분"",
      ""span"": {""start"": 0, ""end"": 14},
      ""normalized"": ""수용성 저분자 어류 콜라겐 성분"",
      ""syntactic_head"": ""베이스로"",
      ""confidence"": 0.95,
      "
nikluge-sa-2022-train-01875,valid,unknown,proposed,gpt-4.1-mini,349,420,0.01609,49044,0,"{""parse_failed"": false, ""generate_failed"": false, ""fallback_used"": false}",,"{
  ""aspects"": [
    {
      ""term"": ""주름"",
      ""span"": {""start"": 0, ""end"": 2},
      ""normalized"": ""주름"",
      ""syntactic_head"": ""관리"",
      ""confidence"": 0.9,
      ""rationale"": ""텍스트 첫 부분에 명시된 피부 관"
